TIME TABLE FOR Fall 2020 SEMESTER [Computer Science Department] <V1.1>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-4),,,,,"Comp. Organization & Assembly Lang. Lab (BCS-3C1, BCS-3C2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Comp. Organization & Assembly Lang. Lab (BCS-3H1, BCS-3H2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-6),,,,,"Comp. Organization & Assembly Lang. Lab (BCS-3E1, BCS-3E2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Computer Networks Lab  (BCS-5C1, BCS-5C2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),,,,,"Data Structures Lab (BCS-3B1, BCS-3B2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data Structures Lab (BCS-3G1, BCS-3G2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),,,,,"Data Structures Lab (BCS-3D1, BCS-3D2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Object Oriented Programming Lab (BCS-3G1, BCS-3G2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday                   Wednesday,Seminar Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marketing Management (BCS-3G),,,,,,,,,Entrepreneurship (BCS-3B),,,,,,,,,Entrepreneurship (BCS-3C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,,,,,,,,,,,,,,Data Science Tools and Tech. (MDS-1A),,,,,,,,,Operating Systems (BCS-5E),,,,,,,,,Operating Systems (BCS-5D),,,,,,,,,Software Engineering (BCS-7E),,,,,,,,,Software Engineering (BCS-7D),,,,,,,,,Advanced Software Engineering (MSP-3A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,,,,,Computer Networks (BCS-7F),,,,,,,,,Theory of Automata (BCS-7D),,,,,,,,,Software Design & Analysis (BCS-5C),,,,,,,,,Ad. Computer Architecture (MCS-3A),,,,,,,,,Software Design & Analysis (BCS-5D),,,,,,,,,Probability and Statistics (BCS-7E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
